SITEID,COUNTYID,DATACREATIONDATE,PSI
280,65000,11-8 -16,35.0
281,65000,11-8 -16,32.0
282,65000,11-8 -16,36.0
283,65000,11-8 -16,30.0
284,65000,11-8 -16,26.0
285,65000,11-8 -16,28.0
286,63000,11-8 -16,34.0
287,63000,11-8 -16,24.0
288,63000,11-8 -16,24.0
289,63000,11-8 -16,33.0
290,63000,11-8 -16,33.0
201,63000,11-8 -16,34.0
291,68000,11-8 -16,22.0
292,68000,11-8 -16,25.0
202,68000,11-8 -16,36.0
293,68000,11-8 -16,29.0
294,68000,11-8 -16,27.0
295,10004,11-8 -16,29.0
296,10004,11-8 -16,23.0
297,10018,11-8 -16,25.0
203,10005,11-8 -16,31.0
241,10005,11-8 -16,32.0
242,10005,11-8 -16,43.0
243,66000,11-8 -16,40.0
244,66000,11-8 -16,43.0
245,66000,11-8 -16,46.0
246,66000,11-8 -16,24.0
247,66000,11-8 -16,46.0
248,10007,11-8 -16,38.0
204,10007,11-8 -16,36.0
249,10007,11-8 -16,41.0
250,10008,11-8 -16,44.0
251,10009,11-8 -16,27.0
252,10009,11-8 -16,51.0
253,10010,11-8 -16,19.0
223,10014,11-8 -16,17.0
207,64000,09-8 -16,41.0
262,64000,09-8 -16,29.0
263,64000,09-8 -16,31.0
264,64000,09-8 -16,43.0
265,64000,09-8 -16,35.0
266,64000,09-8 -16,27.0
209,64000,09-8 -16,26.0
267,64000,09-8 -16,34.0
268,10013,09-8 -16,32.0
269,10013,09-8 -16,37.0
270,10013,09-8 -16,21.0
271,10014,09-8 -16,21.0
272,10015,09-8 -16,24.0
210,63000,09-8 -16,16.0
273,10002,09-8 -16,31.0
274,10002,09-8 -16,22.0
211,65000,09-8 -16,28.0
212,68000,09-8 -16,26.0
275,10008,09-8 -16,31.0
213,65000,09-8 -16,15.0
214,64000,09-8 -16,24.0
215,10008,09-8 -16,28.0
218,9007,09-8 -16,20.0
220,9020,09-8 -16,44.0
221,10016,09-8 -16,21.0
223,10014,09-8 -16,15.0
367625,10009,09-8 -16,41.0
276,10017,09-8 -16,15.0
277,65000,09-8 -16,15.0
278,65000,09-8 -16,13.0
279,65000,09-8 -16,23.0
280,65000,09-8 -16,24.0
281,65000,09-8 -16,30.0
282,65000,09-8 -16,14.0
295,10004,09-8 -16,29.0
296,10004,09-8 -16,29.0
297,10018,09-8 -16,30.0
203,10005,09-8 -16,30.0
203,10005,13-8 -16,37.0
241,10005,13-8 -16,37.0
242,10005,13-8 -16,29.0
243,66000,13-8 -16,33.0
244,66000,13-8 -16,37.0
245,66000,13-8 -16,28.0
246,66000,13-8 -16,26.0
247,66000,13-8 -16,30.0
