﻿序號,縣市,監測日期,測站,二氧化硫 SO2 (ppb),一氧化碳 CO (ppm),臭氧 O3 (ppb),懸浮微粒 PM 10 (μg/m 3 ),細懸浮微粒 PM 2.5 (μg/m 3 ),氮氧化物 NOx (ppb),一氧化氮 NO (ppb),二氧化氮 NO2 (ppb),風速 WIND_SPEED (m/sec),溫度 AMB_TEMP (℃),相對濕度 RH (percent) 
3680.0,南投縣,2015/01/15,竹山,3.486537634408602,0.5538766709788703,31.225284339457566,68.8,32.0,24.49018486672399,6.15920894239037,18.32768271711092,2.6251324651998202,17.116743780008733,69.75121397379911
3681.0,南投縣,2015/01/15,竹山,2.4,0.41,21.0,61.0,34.07998289136014,21.48,3.29,18.2,1.44,15.67,72.89
3682.0,南投縣,2015/01/14,南投,3.486537634408602,0.5538766709788703,31.225284339457566,68.8,10.0,24.49018486672399,6.15920894239037,18.32768271711092,2.6251324651998202,17.116743780008733,69.75121397379911
3683.0,南投縣,2015/01/14,南投,2.0,0.48,19.6,32.0,34.07998289136014,20.83,3.01,17.83,1.95,17.5,81.36
3684.0,南投縣,2015/01/14,埔里,3.486537634408602,0.5538766709788703,31.225284339457566,68.8,7.0,24.49018486672399,6.15920894239037,18.32768271711092,2.6251324651998202,17.116743780008733,69.75121397379911
3685.0,南投縣,2015/01/14,埔里,1.4,0.32,29.2,15.0,34.07998289136014,11.21,1.36,9.85,1.69,17.26,76.72
3686.0,南投縣,2015/01/14,竹山,3.486537634408602,0.5538766709788703,31.225284339457566,68.8,13.0,24.49018486672399,6.15920894239037,18.32768271711092,2.6251324651998202,17.116743780008733,69.75121397379911
3687.0,南投縣,2015/01/14,竹山,1.9,0.36,23.7,28.0,34.07998289136014,17.23,1.46,15.76,1.76,15.82,81.58
3688.0,南投縣,2015/01/13,南投,3.486537634408602,0.5538766709788703,31.225284339457566,68.8,46.0,24.49018486672399,6.15920894239037,18.32768271711092,2.6251324651998202,17.116743780008733,69.75121397379911
3689.0,南投縣,2015/01/13,南投,3.7,0.55,25.2,97.0,34.07998289136014,23.8,3.39,20.42,1.59,19.7,74.13
3690.0,南投縣,2015/01/13,埔里,3.486537634408602,0.5538766709788703,31.225284339457566,68.8,42.0,24.49018486672399,6.15920894239037,18.32768271711092,2.6251324651998202,17.116743780008733,69.75121397379911
3691.0,南投縣,2015/01/13,埔里,2.4,0.49,40.0,69.0,34.07998289136014,17.38,1.53,15.85,2.21,18.29,67.25
3692.0,南投縣,2015/01/13,竹山,3.486537634408602,0.5538766709788703,31.225284339457566,68.8,51.0,24.49018486672399,6.15920894239037,18.32768271711092,2.6251324651998202,17.116743780008733,69.75121397379911
3693.0,南投縣,2015/01/13,竹山,4.0,0.42,33.3,92.0,34.07998289136014,17.42,1.34,16.08,1.58,17.67,74.65
3694.0,南投縣,2015/01/12,南投,3.486537634408602,0.5538766709788703,31.225284339457566,68.8,44.0,24.49018486672399,6.15920894239037,18.32768271711092,2.6251324651998202,17.116743780008733,69.75121397379911
3695.0,南投縣,2015/01/12,南投,3.9,0.66,24.6,68.8,34.07998289136014,30.06,3.69,26.37,1.48,20.44,63.14
3696.0,南投縣,2015/01/12,埔里,3.486537634408602,0.5538766709788703,31.225284339457566,68.8,34.0,24.49018486672399,6.15920894239037,18.32768271711092,2.6251324651998202,17.116743780008733,69.75121397379911
3697.0,南投縣,2015/01/12,埔里,2.9,0.54,36.6,49.0,34.07998289136014,20.04,2.18,17.86,1.34,18.05,60.96
3698.0,南投縣,2015/01/12,竹山,3.486537634408602,0.5538766709788703,31.225284339457566,68.8,58.0,24.49018486672399,6.15920894239037,18.32768271711092,2.6251324651998202,17.116743780008733,69.75121397379911
3699.0,南投縣,2015/01/12,竹山,3.7,0.53,36.6,97.0,34.07998289136014,22.13,3.16,18.97,1.45,18.61,61.93
3700.0,南投縣,2015/01/11,南投,3.486537634408602,0.5538766709788703,31.225284339457566,68.8,41.0,24.49018486672399,6.15920894239037,18.32768271711092,2.6251324651998202,17.116743780008733,69.75121397379911
3701.0,南投縣,2015/01/11,南投,2.0,0.6,23.8,68.8,34.07998289136014,25.84,4.75,21.09,1.32,18.66,64.63
3702.0,南投縣,2015/01/11,埔里,3.486537634408602,0.5538766709788703,31.225284339457566,68.8,37.0,24.49018486672399,6.15920894239037,18.32768271711092,2.6251324651998202,17.116743780008733,69.75121397379911
3703.0,南投縣,2015/01/11,埔里,2.1,0.51,29.7,52.0,34.07998289136014,18.37,2.4,15.98,1.4,16.71,58.55
3704.0,南投縣,2015/01/11,竹山,3.486537634408602,0.5538766709788703,31.225284339457566,68.8,44.0,24.49018486672399,6.15920894239037,18.32768271711092,2.6251324651998202,17.116743780008733,69.75121397379911
3705.0,南投縣,2015/01/11,竹山,2.7,0.47,31.6,68.0,34.07998289136014,18.11,1.93,16.17,1.12,17.01,59.91
3706.0,南投縣,2015/01/10,南投,3.486537634408602,0.5538766709788703,31.225284339457566,68.8,45.0,24.49018486672399,6.15920894239037,18.32768271711092,2.6251324651998202,17.116743780008733,69.75121397379911
3707.0,南投縣,2015/01/10,南投,3.3,0.64,24.4,85.0,34.07998289136014,33.8,8.06,25.74,1.1,17.5,66.83
3708.0,南投縣,2015/01/10,埔里,3.486537634408602,0.5538766709788703,31.225284339457566,68.8,47.0,24.49018486672399,6.15920894239037,18.32768271711092,2.6251324651998202,17.116743780008733,69.75121397379911
3709.0,南投縣,2015/01/10,埔里,2.6,0.54,35.0,68.0,34.07998289136014,17.93,1.33,16.59,1.25,16.62,65.3
3710.0,南投縣,2015/01/10,竹山,3.486537634408602,0.5538766709788703,31.225284339457566,68.8,62.0,24.49018486672399,6.15920894239037,18.32768271711092,2.6251324651998202,17.116743780008733,69.75121397379911
3711.0,南投縣,2015/01/10,竹山,3.3,0.55,29.6,98.0,34.07998289136014,24.91,3.3,21.61,1.13,15.91,68.33
