﻿序號,縣市,監測日期,測站,二氧化硫 SO2 (ppb),一氧化碳 CO (ppm),二氧化碳 CO2 (ppm),臭氧 O3 (ppb),懸浮微粒 PM 10 (μg/m 3 ),細懸浮微粒 PM 2.5 (μg/m 3 ),氮氧化物 NOx (ppb),一氧化氮 NO (ppb),二氧化氮 NO2 (ppb),風速 WIND_SPEED (m/sec),溫度 AMB_TEMP (℃),相對濕度 RH (percent) 
580.0,新北市,2015/06/23,新莊,3.0794039145907472,0.32004026845637584,414.5005617977528,20.492555605991825,31.797345132743363,15.0,15.149012400354296,4.58677147918512,10.56087245349867,2.3164478584729977,29.76655626134301,73.4927029478458
581.0,新北市,2015/06/23,新莊,5.5,0.47,414.5005617977528,23.1,26.0,11.99911190053286,25.88,4.57,21.31,1.76,29.24,80.21
582.0,新北市,2015/06/23,新店,3.0794039145907472,0.32004026845637584,414.5005617977528,20.492555605991825,31.797345132743363,12.0,15.149012400354296,4.58677147918512,10.56087245349867,2.3164478584729977,29.76655626134301,73.4927029478458
583.0,新北市,2015/06/23,新店,2.7,0.34,414.5005617977528,20.2,23.0,11.99911190053286,17.12,3.0,14.13,1.61,27.19,79.28
584.0,新北市,2015/06/23,淡水,3.0794039145907472,0.32004026845637584,414.5005617977528,20.492555605991825,31.797345132743363,9.0,15.149012400354296,4.58677147918512,10.56087245349867,2.3164478584729977,29.76655626134301,73.4927029478458
585.0,新北市,2015/06/23,淡水,3.8,0.4,414.5005617977528,20.6,30.0,11.99911190053286,19.55,2.52,17.03,2.3164478584729977,29.76655626134301,73.4927029478458
586.0,新北市,2015/06/23,汐止,3.0794039145907472,0.32004026845637584,414.5005617977528,20.492555605991825,31.797345132743363,12.0,15.149012400354296,4.58677147918512,10.56087245349867,2.3164478584729977,29.76655626134301,73.4927029478458
587.0,新北市,2015/06/23,汐止,4.5,0.42,414.5005617977528,16.5,25.0,11.99911190053286,25.27,6.66,18.61,1.5,29.13,81.11
588.0,新北市,2015/06/23,土城,3.0794039145907472,0.32004026845637584,414.5005617977528,20.492555605991825,31.797345132743363,18.0,15.149012400354296,4.58677147918512,10.56087245349867,2.3164478584729977,29.76655626134301,73.4927029478458
589.0,新北市,2015/06/23,土城,3.7,0.43,414.5005617977528,22.7,29.0,11.99911190053286,26.8,5.75,21.05,1.34,28.31,79.58
590.0,新北市,2015/06/23,林口,3.0794039145907472,0.32004026845637584,414.5005617977528,20.492555605991825,31.797345132743363,14.0,15.149012400354296,4.58677147918512,10.56087245349867,2.3164478584729977,29.76655626134301,73.4927029478458
591.0,新北市,2015/06/23,林口,3.6,0.34,414.5005617977528,23.5,30.0,11.99911190053286,27.26,6.8,20.45,2.02,27.42,85.3
592.0,新北市,2015/06/23,萬里,3.0794039145907472,0.32004026845637584,414.5005617977528,20.492555605991825,31.797345132743363,21.0,15.149012400354296,4.58677147918512,10.56087245349867,2.3164478584729977,29.76655626134301,73.4927029478458
593.0,新北市,2015/06/23,萬里,3.9,0.25,414.5005617977528,34.1,31.0,11.99911190053286,11.88,1.55,10.33,3.13,28.28,79.02
594.0,新北市,2015/06/22,板橋,3.0794039145907472,0.32004026845637584,414.5005617977528,20.492555605991825,31.797345132743363,18.0,15.149012400354296,4.58677147918512,10.56087245349867,2.3164478584729977,29.76655626134301,73.4927029478458
595.0,新北市,2015/06/22,板橋,4.8,0.54,414.5005617977528,20.7,38.0,11.99911190053286,30.57,5.69,24.87,1.81,29.75,70.18
596.0,新北市,2015/06/22,三重,3.0794039145907472,0.32004026845637584,414.5005617977528,20.492555605991825,31.797345132743363,11.0,15.149012400354296,4.58677147918512,10.56087245349867,2.3164478584729977,29.76655626134301,73.4927029478458
597.0,新北市,2015/06/22,三重,5.4,1.41,414.5005617977528,20.492555605991825,46.0,11.99911190053286,81.31,47.96,33.35,2.3164478584729977,29.76655626134301,66.72
598.0,新北市,2015/06/22,菜寮,3.0794039145907472,0.32004026845637584,414.5005617977528,20.492555605991825,31.797345132743363,7.0,15.149012400354296,4.58677147918512,10.56087245349867,2.3164478584729977,29.76655626134301,73.4927029478458
599.0,新北市,2015/06/22,菜寮,4.7,0.58,414.5005617977528,19.9,33.0,11.99911190053286,25.77,5.42,20.35,1.83,30.07,68.45
600.0,新北市,2015/06/22,永和,3.0794039145907472,0.32004026845637584,414.5005617977528,20.492555605991825,31.797345132743363,19.0,15.149012400354296,4.58677147918512,10.56087245349867,2.3164478584729977,29.76655626134301,73.4927029478458
601.0,新北市,2015/06/22,永和,3.5,0.95,414.5005617977528,21.4,27.0,11.99911190053286,34.98,13.5,21.49,1.38,29.47,69.37
602.0,新北市,2015/06/22,新莊,3.0794039145907472,0.32004026845637584,414.5005617977528,20.492555605991825,31.797345132743363,18.0,15.149012400354296,4.58677147918512,10.56087245349867,2.3164478584729977,29.76655626134301,73.4927029478458
603.0,新北市,2015/06/22,新莊,5.9,0.54,414.5005617977528,20.9,30.0,11.99911190053286,25.03,4.09,20.94,1.97,29.79,77.54
604.0,新北市,2015/06/22,新店,3.0794039145907472,0.32004026845637584,414.5005617977528,20.492555605991825,31.797345132743363,16.0,15.149012400354296,4.58677147918512,10.56087245349867,2.3164478584729977,29.76655626134301,73.4927029478458
605.0,新北市,2015/06/22,新店,3.0,0.33,414.5005617977528,27.0,28.0,11.99911190053286,13.96,2.79,11.17,1.8,26.95,74.42
606.0,新北市,2015/06/22,淡水,3.0794039145907472,0.32004026845637584,414.5005617977528,20.492555605991825,31.797345132743363,11.0,15.149012400354296,4.58677147918512,10.56087245349867,2.3164478584729977,29.76655626134301,73.4927029478458
607.0,新北市,2015/06/22,淡水,3.0,0.39,414.5005617977528,23.1,41.0,11.99911190053286,18.2,2.72,15.48,2.3164478584729977,29.76655626134301,73.4927029478458
608.0,新北市,2015/06/22,汐止,3.0794039145907472,0.32004026845637584,414.5005617977528,20.492555605991825,31.797345132743363,12.0,15.149012400354296,4.58677147918512,10.56087245349867,2.3164478584729977,29.76655626134301,73.4927029478458
609.0,新北市,2015/06/22,汐止,6.5,0.38,414.5005617977528,17.3,27.0,11.99911190053286,25.61,8.68,16.93,1.31,29.22,80.68
610.0,新北市,2015/06/22,土城,3.0794039145907472,0.32004026845637584,414.5005617977528,20.492555605991825,31.797345132743363,20.0,15.149012400354296,4.58677147918512,10.56087245349867,2.3164478584729977,29.76655626134301,73.4927029478458
611.0,新北市,2015/06/22,土城,4.0,0.45,414.5005617977528,23.1,34.0,11.99911190053286,25.79,6.21,19.58,1.49,28.96,75.52
612.0,新北市,2015/06/22,林口,3.0794039145907472,0.32004026845637584,414.5005617977528,20.492555605991825,31.797345132743363,16.0,15.149012400354296,4.58677147918512,10.56087245349867,2.3164478584729977,29.76655626134301,73.4927029478458
613.0,新北市,2015/06/22,林口,4.1,0.32,414.5005617977528,26.7,30.0,11.99911190053286,21.87,4.38,17.49,1.95,28.1,82.39
614.0,新北市,2015/06/22,萬里,3.0794039145907472,0.32004026845637584,414.5005617977528,20.492555605991825,31.797345132743363,20.0,15.149012400354296,4.58677147918512,10.56087245349867,2.3164478584729977,29.76655626134301,73.4927029478458
615.0,新北市,2015/06/22,萬里,2.5,0.16,414.5005617977528,33.6,31.0,11.99911190053286,7.55,1.8,5.75,3.15,28.04,80.03
616.0,新北市,2015/06/21,板橋,3.0794039145907472,0.32004026845637584,414.5005617977528,20.492555605991825,31.797345132743363,20.0,15.149012400354296,4.58677147918512,10.56087245349867,2.3164478584729977,29.76655626134301,73.4927029478458
617.0,新北市,2015/06/21,板橋,3.9,0.47,414.5005617977528,27.0,38.0,11.99911190053286,22.41,2.79,19.63,1.71,29.31,75.38
618.0,新北市,2015/06/21,三重,3.0794039145907472,0.32004026845637584,414.5005617977528,20.492555605991825,31.797345132743363,14.0,15.149012400354296,4.58677147918512,10.56087245349867,2.3164478584729977,29.76655626134301,73.4927029478458
619.0,新北市,2015/06/21,三重,4.1,1.26,414.5005617977528,20.492555605991825,44.0,11.99911190053286,73.29,41.85,31.44,2.3164478584729977,15.03,71.71
620.0,新北市,2015/06/21,菜寮,3.0794039145907472,0.32004026845637584,414.5005617977528,20.492555605991825,31.797345132743363,10.0,15.149012400354296,4.58677147918512,10.56087245349867,2.3164478584729977,29.76655626134301,73.4927029478458
621.0,新北市,2015/06/21,菜寮,2.6,0.48,414.5005617977528,23.2,33.0,11.99911190053286,19.76,2.47,17.29,1.87,29.68,73.56
622.0,新北市,2015/06/21,永和,3.0794039145907472,0.32004026845637584,414.5005617977528,20.492555605991825,31.797345132743363,25.0,15.149012400354296,4.58677147918512,10.56087245349867,2.3164478584729977,29.76655626134301,73.4927029478458
623.0,新北市,2015/06/21,永和,3.5,0.68,414.5005617977528,24.1,29.0,11.99911190053286,24.67,6.62,18.05,1.74,29.39,72.81
624.0,新北市,2015/06/21,新莊,3.0794039145907472,0.32004026845637584,414.5005617977528,20.492555605991825,30.0,11.99911190053286,15.149012400354296,4.58677147918512,10.56087245349867,2.33,29.76655626134301,73.4927029478458
625.0,新北市,2015/06/21,新店,3.0794039145907472,0.32004026845637584,414.5005617977528,20.492555605991825,31.797345132743363,18.0,15.149012400354296,4.58677147918512,10.56087245349867,2.3164478584729977,29.76655626134301,73.4927029478458
626.0,新北市,2015/06/21,新店,2.7,0.31,414.5005617977528,27.8,29.0,11.99911190053286,13.1,2.65,10.45,1.74,27.08,74.82
627.0,新北市,2015/06/21,淡水,3.0794039145907472,0.32004026845637584,414.5005617977528,20.492555605991825,31.797345132743363,11.0,15.149012400354296,4.58677147918512,10.56087245349867,2.3164478584729977,29.76655626134301,73.4927029478458
628.0,新北市,2015/06/21,淡水,2.3,0.37,414.5005617977528,24.9,31.0,11.99911190053286,13.52,1.89,11.64,2.3164478584729977,29.76655626134301,73.4927029478458
629.0,新北市,2015/06/21,汐止,3.0794039145907472,0.32004026845637584,414.5005617977528,20.492555605991825,31.797345132743363,15.0,15.149012400354296,4.58677147918512,10.56087245349867,2.3164478584729977,29.76655626134301,73.4927029478458
630.0,新北市,2015/06/21,汐止,8.4,0.35,414.5005617977528,18.2,26.0,11.99911190053286,20.72,5.4,15.33,1.34,29.13,81.54
631.0,新北市,2015/06/21,土城,3.0794039145907472,0.32004026845637584,414.5005617977528,20.492555605991825,31.797345132743363,23.0,15.149012400354296,4.58677147918512,10.56087245349867,2.3164478584729977,29.76655626134301,73.4927029478458
632.0,新北市,2015/06/21,土城,2.4,0.38,414.5005617977528,29.8,34.0,11.99911190053286,16.7,2.14,14.57,1.35,28.79,79.3
633.0,新北市,2015/06/21,林口,3.0794039145907472,0.32004026845637584,414.5005617977528,20.492555605991825,31.797345132743363,14.0,15.149012400354296,4.58677147918512,10.56087245349867,2.3164478584729977,29.76655626134301,73.4927029478458
634.0,新北市,2015/06/21,林口,2.3,0.24,414.5005617977528,23.6,25.0,11.99911190053286,11.84,1.81,10.03,2.08,27.98,83.83
635.0,新北市,2015/06/21,萬里,3.0794039145907472,0.32004026845637584,414.5005617977528,20.492555605991825,31.797345132743363,23.0,15.149012400354296,4.58677147918512,10.56087245349867,2.3164478584729977,29.76655626134301,73.4927029478458
636.0,新北市,2015/06/21,萬里,2.1,0.16,414.5005617977528,25.9,35.0,11.99911190053286,7.05,1.66,5.4,2.74,27.83,83.98
637.0,新北市,2015/06/20,板橋,3.0794039145907472,0.32004026845637584,414.5005617977528,20.492555605991825,31.797345132743363,17.0,15.149012400354296,4.58677147918512,10.56087245349867,2.3164478584729977,29.76655626134301,73.4927029478458
638.0,新北市,2015/06/20,板橋,4.3,0.37,414.5005617977528,25.1,35.0,11.99911190053286,18.81,2.18,16.63,2.21,30.61,68.95
639.0,新北市,2015/06/20,三重,3.0794039145907472,0.32004026845637584,414.5005617977528,20.492555605991825,31.797345132743363,13.0,15.149012400354296,4.58677147918512,10.56087245349867,2.3164478584729977,29.76655626134301,73.4927029478458
640.0,新北市,2015/06/20,三重,3.3,1.06,414.5005617977528,20.492555605991825,44.0,11.99911190053286,59.94,34.39,25.55,2.3164478584729977,16.84,69.64
641.0,新北市,2015/06/20,菜寮,3.0794039145907472,0.32004026845637584,414.5005617977528,20.492555605991825,31.797345132743363,8.0,15.149012400354296,4.58677147918512,10.56087245349867,2.3164478584729977,29.76655626134301,73.4927029478458
642.0,新北市,2015/06/20,菜寮,2.8,0.33,414.5005617977528,23.8,34.0,11.99911190053286,14.02,1.74,12.28,2.24,30.37,69.85
643.0,新北市,2015/06/20,永和,3.0794039145907472,0.32004026845637584,414.5005617977528,20.492555605991825,31.797345132743363,23.0,15.149012400354296,4.58677147918512,10.56087245349867,2.3164478584729977,29.76655626134301,73.4927029478458
644.0,新北市,2015/06/20,永和,4.6,0.67,414.5005617977528,21.6,32.0,11.99911190053286,25.07,7.64,17.43,1.78,30.06,69.16
