SITEID,COUNTYID,PSI,DATACREATIONDATE
203,10005,43.0,2015/2/28
241,10005,44.0,2015/2/28
242,10005,30.0,2015/2/28
243,66000,51.0,2015/2/28
244,66000,46.0,2015/2/28
245,66000,56.0,2015/2/28
246,66000,44.0,2015/2/28
247,66000,47.0,2015/2/28
248,10007,44.0,2015/2/28
204,10007,42.0,2015/2/28
249,10007,47.0,2015/2/28
250,10008,58.0,2015/2/28
251,10009,60.0,2015/2/28
252,10009,43.0,2015/2/28
253,10010,52.0,2015/2/28
254,10010,54.0,2015/2/28
205,10009,34.0,2015/2/28
255,10020,62.0,2015/2/28
256,67000,52.0,2015/2/28
257,67000,52.0,2015/2/28
258,67000,51.0,2015/2/28
259,67000,46.0,2015/2/28
260,64000,39.0,2015/2/28
206,64000,51.0,2015/2/28
261,64000,56.0,2015/2/28
207,64000,58.0,2015/2/28
262,64000,54.0,2015/2/28
263,64000,33.0,2015/2/28
264,64000,61.0,2015/2/28
265,64000,52.0,2015/2/28
266,64000,54.0,2015/2/28
209,64000,58.0,2015/2/28
273,10002,50.0,2015/2/26
274,10002,43.0,2015/2/26
211,65000,52.0,2015/2/26
212,68000,54.0,2015/2/26
275,10008,69.0,2015/2/26
254,10010,52.0,2015/2/27
205,10009,35.0,2015/2/27
255,10020,60.0,2015/2/27
256,67000,52.0,2015/2/27
257,67000,51.0,2015/2/27
258,67000,50.0,2015/2/27
259,67000,47.0,2015/2/27
260,64000,52.0,2015/2/27
206,64000,52.0,2015/2/27
261,64000,64.0,2015/2/27
207,64000,63.0,2015/2/27
262,64000,54.0,2015/2/27
263,64000,47.0,2015/2/27
264,64000,60.0,2015/2/27
265,64000,52.0,2015/2/27
266,64000,62.0,2015/2/27
209,64000,54.0,2015/2/27
267,64000,62.0,2015/2/27
268,10013,56.0,2015/2/27
269,10013,58.0,2015/2/27
270,10013,36.0,2015/2/27
271,10014,34.0,2015/2/27
272,10015,34.0,2015/2/27
210,63000,38.0,2015/2/27
273,10002,36.0,2015/2/27
274,10002,25.0,2015/2/27
211,65000,45.0,2015/2/27
212,68000,49.0,2015/2/27
275,10008,62.0,2015/2/27
213,65000,28.0,2015/2/27
214,64000,53.0,2015/2/27
286,63000,23.0,2015/2/25
287,63000,52.0,2015/2/25
288,63000,32.0,2015/2/25
289,63000,45.0,2015/2/25
290,63000,22.0,2015/2/25
201,63000,51.0,2015/2/25
285,65000,50.0,2015/2/25
291,68000,50.0,2015/2/25
292,68000,56.0,2015/2/25
202,68000,60.0,2015/2/25
293,68000,52.0,2015/2/25
294,68000,47.0,2015/2/25
295,10004,56.0,2015/2/25
296,10004,48.0,2015/2/25
297,10018,58.0,2015/2/25
203,10005,64.0,2015/2/25
241,10005,58.0,2015/2/25
242,10005,45.0,2015/2/25
243,66000,54.0,2015/2/25
244,66000,66.0,2015/2/25
245,66000,58.0,2015/2/25
246,66000,54.0,2015/2/25
247,66000,62.0,2015/2/25
248,10007,64.0,2015/2/25
204,10007,68.0,2015/2/25
249,10007,75.0,2015/2/25
250,10008,70.0,2015/2/25
251,10009,69.0,2015/2/25
252,10009,88.0,2015/2/25
253,10010,80.0,2015/2/25
272,10015,42.0,2015/2/22
210,63000,31.0,2015/2/22
273,10002,38.0,2015/2/22
274,10002,34.0,2015/2/22
206,64000,27.0,2015/2/22
261,64000,43.0,2015/2/22
207,64000,44.0,2015/2/22
262,64000,29.0,2015/2/22
263,64000,30.0,2015/2/22
264,64000,44.0,2015/2/22
265,64000,49.0,2015/2/22
260,64000,20.0,2015/2/22
266,64000,32.0,2015/2/22
209,64000,30.0,2015/2/22
267,64000,45.0,2015/2/22
268,10013,22.0,2015/2/22
269,10013,28.0,2015/2/22
270,10013,40.0,2015/2/22
271,10014,22.0,2015/2/22
262,64000,60.0,2015/3/02
263,64000,50.0,2015/3/02
264,64000,57.0,2015/3/02
265,64000,53.0,2015/3/02
266,64000,60.0,2015/3/02
209,64000,55.0,2015/3/02
267,64000,,2015/3/02
268,10013,88.0,2015/3/02
269,10013,63.0,2015/3/02
270,10013,37.0,2015/3/02
271,10014,22.0,2015/3/02
272,10015,37.0,2015/3/02
210,63000,34.0,2015/3/02
273,10002,54.0,2015/3/02
274,10002,43.0,2015/3/02
211,65000,58.0,2015/3/02
212,68000,71.0,2015/3/02
275,10008,81.0,2015/3/02
213,65000,50.0,2015/3/02
214,64000,56.0,2015/3/02
215,10008,60.0,2015/3/02
218,9007,60.0,2015/3/02
220,9020,68.0,2015/3/02
221,10016,68.0,2015/3/02
223,10014,22.0,2015/3/02
367625,10009,70.0,2015/3/02
276,10017,43.0,2015/3/02
277,65000,52.0,2015/3/02
278,65000,45.0,2015/3/02
279,65000,49.0,2015/3/02
280,65000,54.0,2015/3/02
281,65000,54.0,2015/3/02
282,65000,50.0,2015/3/02
250,10008,61.0,2015/2/27
251,10009,51.0,2015/2/27
252,10009,46.0,2015/2/27
253,10010,52.0,2015/2/27
215,10008,58.0,2015/2/27
218,9007,39.0,2015/2/27
220,9020,35.0,2015/2/27
221,10016,35.0,2015/2/27
254,10010,87.0,2015/2/25
205,10009,60.0,2015/2/25
255,10020,76.0,2015/2/25
256,67000,78.0,2015/2/25
257,67000,79.0,2015/2/25
258,67000,70.0,2015/2/25
259,67000,73.0,2015/2/25
260,64000,52.0,2015/2/25
206,64000,68.0,2015/2/25
261,64000,71.0,2015/2/25
207,64000,69.0,2015/2/25
262,64000,64.0,2015/2/25
